@RELATION RegDataPo

@ATTRIBUTE Length numeric
@ATTRIBUTE OutputSize numeric
@ATTRIBUTE TotalLength numeric
@ATTRIBUTE FileSize numeric
@ATTRIBUTE PowerConsume numeric

@DATA
830,1,872,1,14.73
120,1,131,4,2.03
640,1,685,5,4.29
2173,1,2238,2,16.1
100,3,103,4,0.67
310,5,326,3,2.13
220,1,238,3,1.57
250,5,265,2,1.65
271,4,274,4,4.68
447,5,492,3,3.2
568,2,602,4,3.84
376,1,421,4,3.43
408,5,424,2,3.64
653,1,673,1,11.09
361,3,386,1,3.13
420,5,475,3,3.41
172,3,186,3,3.23
525,4,583,1,9.69
1570,1,1696,5,37.31
300,1,303,2,2.67
111,4,122,1,2.03
683,2,751,5,5.39
330,1,343,5,2.65
444,2,462,2,3.88
400,1,452,3,2.99
183,4,199,2,1.74
324,5,373,5,8.14
473,1,516,3,3.98
380,4,388,2,3.37
479,1,513,1,9.62
163,3,173,3,1.52
103,2,109,4,2.87
380,4,410,5,3.55
104,2,109,5,2.42
681,2,708,2,13.33
165,2,167,3,1.63
388,3,400,1,3.31
106,3,121,2,2.68
746,4,798,2,8.01
100,5,102,4,0.67
1043,2,1106,1,8.3
346,4,353,3,6.86
487,1,560,4,9.65
437,5,468,5,4.63
101,1,110,1,1.76
191,1,214,3,1.38
500,5,565,1,3.52
100,3,114,2,0.67
241,4,248,3,1.72
650,4,741,5,16.73
453,3,489,2,7.96
397,2,405,5,7.86
1560,2,1654,3,10.83
422,4,435,5,9.89
1660,3,1876,4,11.86
213,1,222,2,1.53
855,4,923,5,5.93
101,1,110,2,2.42
691,1,698,4,13.58
440,1,458,1,3.25
450,1,491,5,3.11
200,3,208,4,1.44
181,1,194,1,3.16
865,2,977,2,14.89
271,5,309,4,6.33
13843358,2,14397092,1,93576.47
353,3,381,1,2.67
460,5,529,3,3.49
22201376,2,25531582,5,138956.86
760,1,790,2,5.14
553,1,575,2,3.75
720,5,785,4,4.99
655,3,721,5,4.58
1290,5,1316,5,10.94
835,1,852,3,5.61
1080,5,1123,3,7.43
614,3,700,2,4.43
470,1,531,4,3.43
1742,2,1864,4,12.16
296,5,332,1,2.05
1347,2,1495,4,9.1
255,5,293,2,1.79
730,4,788,5,5.05
111,3,128,3,0.69
1000,3,1150,1,7.04
1036,1,1098,3,7.16
1048,2,1174,5,7.23
100,2,111,5,0.72
100,3,115,2,0.72
957,5,1101,5,6.77
315,4,334,3,2.16
100,1,112,4,0.62
795,5,890,3,5.56
132,1,144,3,0.82
1490,1,1579,1,10.69
280,4,286,5,1.95
1138,4,1286,1,7.9
102,5,108,5,0.84
880,1,1003,5,5.89
10725436,3,12334251,5,177911.87
2632,5,2843,2,45.03
2153,1,2282,1,37.11
13509481,1,15400808,1,91332.36
10888603,4,11541919,1,184810.93
1328,1,1514,5,23.48
13643950,4,15281224,4,85600.97
9913242,5,10408904,5,228556.48
12730420,1,13239637,2,86096.03
15741970,5,16214229,3,98682.21
14617491,3,15786890,4,98779.69
13467071,1,14005754,4,228449.56
14667690,3,15547751,2,243110.43
23469400,4,24642870,1,146863.05
20391591,5,23042498,5,137589.44
1710,3,1967,4,12.69
16083090,3,17691399,2,100809.11
10830110,4,11371616,2,179643.02
16732891,2,17402207,3,385423.44
25473700,1,27256859,2,171748.09
16126000,5,16287260,1,273449.52
24287051,4,27687238,1,151961.13
14900071,4,15794075,4,100679.21
13647230,3,15557842,5,226233.66
18489820,5,19784107,5,115815.17
12409271,5,13029735,2,83937.67
13602770,1,14282909,4,230745.94
16629890,4,16796189,4,104218.43
15521881,2,16608413,1,357567.57
17469920,5,19741010,1,117951.87
14620670,1,14766877,4,91690.86
1483,1,1572,1,10.75
11524293,4,11754779,4,77989.42
13441560,3,13710391,3,228017.6
1879,2,2104,4,32.8
18837140,3,21285968,5,117980.82
740,1,784,5,5.21
690,5,718,3,4.9
530,2,594,2,3.6
21387291,2,23098274,3,354242.04
654,4,661,1,11.32
673,4,727,5,11.43
21012950,2,22693986,4,141766.02
763,3,786,1,5.73
340,5,388,4,2.49
584,2,631,5,4.43
980,1,1117,1,7.39
508,3,513,5,3.71
320,5,323,1,2.25
835,2,852,1,6.21
854,2,922,1,6.34
332,3,355,3,2.43
100,1,111,2,0.67
620,5,663,5,4.67
935,1,1019,1,6.88
517,4,595,1,3.77
351,3,393,2,2.46
1419,2,1575,2,10.44
1050,1,1208,5,7.76
1871,1,1890,3,13.88
100,2,113,1,0.97
560,4,616,5,4.06
563,2,591,5,4.08
1524,2,1737,5,11.34
700,2,798,3,5.1
503,1,528,1,3.68
100,2,104,4,0.67
101,4,106,2,0.68
1080,1,1199,3,8.26
19136002,5,20858242,2,119844.53
636,2,681,1,4.57
12956040,5,13344721,4,298547.45
743,3,802,4,17.49
16742080,5,18248867,2,113059.8
10803330,5,11451530,3,183367.75
11772290,5,13184965,5,73931.09
13472990,5,15224479,1,223352.21
16241001,4,17215461,1,101793.69
21473020,5,21687750,4,144858.11
10256541,3,11282195,5,174114.02
10252000,1,10559560,1,236348.65
14542970,1,14688400,5,91206.4
12767831,5,13661579,5,86347.68
16431420,1,17417305,1,102980.96
14917540,2,15215891,1,100796.43
12549660,3,13804626,5,78778.03
4785,3,5168,4,32.53
13442491,2,13711341,4,90882.3
896,4,1030,4,6.72
13778050,4,15706977,3,233712.41
20892700,2,22773043,1,346062.31
15613570,2,16394249,3,97881.63
20641600,2,20848016,1,139270.04
16112580,3,18368341,2,371154.72
14225310,5,15932347,4,89225.77
1155,4,1178,4,9.5
1336,3,1496,5,10.73
1681,5,1832,4,13.08
2400,2,2544,2,17.56
2373,1,2634,1,17
1448,1,1636,1,11.03
2759,4,2869,3,20.3
1917,3,2147,1,14.85
1342,5,1516,5,9.97
1312,3,1509,3,9.78
3174,3,3301,5,23.09
1240,2,1277,3,9.33
5496,2,5936,4,38.87
1096,3,1249,3,8.63
1113,3,1224,1,8.64
2678,2,2839,4,20.8
2159,4,2396,3,15.46
2070,1,2091,4,15.41
1447,5,1534,5,12.02
217,2,234,4,1.65
4383,4,4865,3,31.13
100,4,103,4,0.62
1459,5,1678,4,11.6
926,4,954,1,7.47
2797,4,3077,2,22.54
3964,5,4241,4,29.12
112,5,116,2,0.7
2532,1,2557,5,19.49
2553,4,2834,3,20.82
103,3,115,4,0.64
898,3,1024,3,7.5
1523,5,1614,4,12.2
2575,1,2678,2,20.56
121,2,134,4,1.65
3145,2,3334,5,23.51
19056513,4,19818774,2,128616.11
16999541,3,19039486,2,106523.21
18931521,2,20824673,2,320930.82
11753861,5,13281863,2,73816.39
16435710,2,17586210,4,111000.58
26141802,1,28233146,1,432874.22
11669471,4,11786166,2,78965.22
18535190,5,19647301,4,116098.05
14082080,5,15067826,5,324448.92
12139160,2,13595859,2,205975.57
13091810,3,13615482,1,88525.05
15170370,4,15928889,1,95118.26
9806890,1,10003028,3,162720.61
14996716,5,16646355,3,101328.99
15282245,2,16046357,1,95816.21
13675983,2,14359782,5,85801.2
15662740,2,16759132,5,105805.18
13962650,3,15358915,2,321701.67
18563061,1,20976259,4,314694.94
15479100,1,16872219,5,104570.86
19398010,2,20755871,4,121477.77
16536990,5,16867730,2,274025.65
14635290,2,15806113,1,91782.01
613,3,625,3,4.12
750,5,840,2,5.18
15404771,3,16637153,2,104071.27
480,4,528,4,3.53
543,3,603,1,3.95
295,1,330,5,2.18
559,1,615,1,4.06
9607100,1,10952094,4,221514.55
564,2,637,2,13.37
151,4,157,3,3.57
423,2,461,4,10.03
292,4,324,2,6.92
624,5,674,3,14.85
292,3,315,4,6.92
673,5,754,5,15.78
590,5,679,5,13.87
783,2,861,4,18.31
684,5,759,5,16.23
1598,5,1838,3,37.66
453,5,498,1,10.72
100,4,113,5,2.5
664,3,724,4,15.77
103,1,113,1,2.67
1007,1,1118,5,23.96
372,1,383,4,8.76
673,5,680,4,15.78
103,2,111,1,2.67
2915,2,3294,2,68.75
100,4,113,1,2.3
906,5,1006,1,21.54
574,5,631,2,13.6
1319,4,1425,4,31.44
1120,5,1198,4,26.96
13674612,1,15178819,3,85792.15
10402800,4,11963220,2,172576.01
17722018,5,20025880,5,119646.71
22269380,5,25164399,4,139380.87
21913270,3,22132403,1,371394.25
1711,2,1951,1,29.96
21470920,2,21900338,5,144844
1036,1,1129,2,7.66
10952380,2,11061904,2,252458.91
16428119,5,18728056,5,102960.38
15781190,1,17359309,3,261526.04
18157512,3,19428538,3,122573.82
11623042,3,11855503,3,73000.83
10642970,2,11600837,3,180653.79
1050,4,1197,1,18.67
10297571,4,11842207,1,69744.19
13028900,5,14331790,4,81766.11
12754210,3,13774547,1,80053.41
16492610,3,16822462,3,111383.02
11951900,2,12190938,1,275450.05
15064020,4,15817221,4,249665.09
10628483,3,11478762,2,71968.37
16953030,2,17631151,1,106233.22
17220580,1,18253815,4,291974.36
12022570,4,13104601,2,75491.7
19826560,2,20223091,2,133791.67
10957791,2,11724836,4,74181.76
1935,1,2206,3,14.81
12476960,4,12726499,1,287527.56
21916270,5,23450409,1,137179.42
11710580,1,12881638,2,198722.31
15851610,1,16168642,4,107074.74
24554160,2,26272951,1,153626.76
13988412,3,16086674,3,94551.83
26944920,5,30717209,4,446156.1
10375700,4,10998242,5,65223.3
12041191,5,12402427,2,204317.73
18613051,5,19729834,3,125635.45
15468650,3,17170202,2,96978.25
10700220,3,11663240,1,177494.85
13115271,4,14689104,4,88682.94
17342201,1,19249843,2,399438.88
14804570,3,16433073,1,92837.68
12808890,3,14217868,1,86623.45
12951660,1,14894409,5,81284.72
11154830,1,12270313,4,70081.21
12959840,2,13737430,2,87638.04
12304511,5,12550601,1,204027.44
19072880,5,21933812,3,323323
12296270,4,14017748,5,77198.33
12866560,5,14410547,4,87011.07
13920160,5,15590579,4,94092.69
17572710,4,20032889,3,110097.25
12807522,4,13704049,1,212346.65
15665530,2,17545394,5,265656.45
18637978,4,20129016,2,116739.54
19134760,4,20474193,3,129141.95
15561112,4,16961612,4,97554.95
15201303,4,16721433,1,102704.3
27406150,5,31517073,5,630931.37
15593990,3,16841509,5,258430.35
12916851,2,13046020,3,87349.29
19401745,1,19595762,3,121501.35
14048630,1,15032034,1,238292.16
10564622,2,11938023,4,66401.24
22720442,2,22947646,1,153242.67
13527810,5,15151147,2,84876.83
13227860,1,13360139,4,219297.96
11292601,1,12986491,1,260284.93
12156241,1,13493428,4,206264.85
11477331,3,12165971,3,72092.22
22995100,3,25064659,2,155088.75
19642081,5,20034923,4,122999.76
11236920,1,11349289,3,186371.01
14888510,2,15484050,1,100601.31
15488320,3,16727386,3,104633.04
12816350,1,13329004,4,295334.27
27775360,4,29164128,1,173710.88
18143411,5,20502054,4,307592.73
12265700,2,14105555,3,82972.48
14582281,5,15165572,5,91451.7
15426501,1,16506356,1,255660.15
11092360,2,12201596,2,75086.54
14114620,1,14820351,2,95399.72
23472070,3,26992881,3,146879.69
11081370,2,12300321,5,255425.97
9814630,4,10010923,5,66498.37
12172010,2,13754371,1,201835.89
10989490,1,11209280,4,69050.31
19674271,3,21248213,2,333501.25
13790890,1,15583706,4,93223.82
21221402,2,22919114,5,132847.09
9795,4,10089,3,64.37
14207193,3,16338272,4,96022.13
11656880,3,12472862,3,73212.41
550,4,589,1,4.43
430,3,464,1,3.68
680,5,694,1,5.34
630,4,712,5,5.03
390,3,398,2,3.23
270,3,286,3,2.48
930,5,986,5,7.2
590,4,596,3,5.08
430,1,495,1,3.58
200,2,220,5,1.95
700,2,721,1,5.86
550,4,583,3,4.13
680,4,721,4,6.64
240,4,242,2,2.4
280,1,322,1,2.35
980,4,1019,4,7.61
310,3,335,3,2.73
470,1,479,1,4.23
600,3,630,4,5.24
100,4,102,3,0.62
570,4,638,2,5.35
100,4,101,3,0.62
440,4,506,3,3.84
380,2,418,4,3.47
1180,2,1298,1,9.96
870,5,922,1,7.52
100,4,109,1,0.62
640,4,646,4,5.69
900,4,981,1,7.81
100,4,110,3,0.62
270,4,300,2,2.48
410,4,467,5,3.96
720,2,727,2,6.29
100,5,111,3,1.02
1030,4,1051,5,7.92
12230771,2,12720002,3,207526.2
10512010,2,12088812,5,71185.51
15281730,4,15434547,4,253265.68
13102880,5,14151110,4,82227.38
20674880,4,23776112,2,139493.53
19790440,3,21175771,2,455753.49
22891830,5,24494258,1,143261.87
11977310,4,13773907,2,81034.2
14887280,4,15036153,4,246742.1
13741920,2,14703854,5,86211.82
13720142,5,14954955,1,92748.29
22953671,1,23183208,1,389002.37
19651664,4,21027280,2,123059.51
15878532,5,16513673,5,107255.59
12245062,1,13714469,4,76878.85
13825752,2,13964010,5,93458.14
18354890,4,18905537,3,304090.8
16702803,5,18039027,1,104673.24
11316236,3,12900509,1,76591.1
15500801,5,17825921,5,262868.54
11780422,5,12133835,3,73981.8
16896123,5,19092619,4,114095.38
26069770,5,26591165,1,600191.72
17855255,2,18390913,1,111858.82
11138732,2,12252605,2,75397.73
11120682,3,12455164,5,75277.01
19450511,5,21979077,4,322210.62
21542883,5,23050885,2,134851.23
13266630,2,13664629,1,89700.08
12112783,5,12960678,1,76054.09
9915457,4,10510384,1,67176.07
24608081,3,24854162,4,417001.78
15432069,4,15895031,5,96750.37
17857,1,18571,1,117.64
14130432,2,15119562,3,234225.24
17438025,4,19879349,5,117737.89
11381,2,12974,4,79.1
20640,3,23530,4,146.73
594,5,618,2,4.39
664,2,764,1,4.96
1145,4,1179,3,8.3
1145,2,1191,2,8.3
513,1,575,1,3.75
543,1,624,2,3.95
826,4,900,1,6.25
987,4,1115,5,7.43
1135,3,1203,3,8.23
623,5,635,5,4.49
997,5,1017,2,7.5
563,1,614,4,4.08
1803,1,2055,5,13.72
514,5,535,5,3.85
442,5,495,4,3.17
1125,5,1271,2,8.16
533,1,565,5,3.88
1237,4,1373,4,9.11
968,5,1016,4,7.41
120,5,128,5,0.81
1368,4,1573,1,10.19
100,3,111,1,0.67
786,5,888,1,5.88
1077,1,1206,3,8.04
1683,1,1733,4,12.91
1430,4,1587,4,10.81
100,1,111,5,0.67
1468,1,1571,5,10.87
1550,5,1767,5,11.72
100,1,112,1,0.67
583,2,647,1,4.22
1227,4,1399,3,9.05
1007,4,1027,5,7.57
102,5,114,3,0.89
1266,1,1456,5,9.21
18283,3,18466,1,129.69
14470274,4,15483193,5,90753.33
20962960,3,21591849,4,482724.01
20649510,3,20856005,5,139323.01
18008971,4,19089509,2,112817.25
14054293,1,16021894,3,232966.53
17063141,1,18598824,3,289310.05
13323900,2,14389812,4,90085.21
22029391,3,25113506,3,137884.63
18338540,5,19805623,3,123790.37
12005751,1,12846154,5,276688.94
17714241,3,17891383,2,110979.6
9989361,4,10488829,1,169592.21
17863430,2,20542945,5,120596.78
18697320,2,21314945,2,117108.93
21396580,4,23750204,4,354395.47
12217603,1,13928067,5,207303.85
22314970,1,25439066,5,150517.15
12320191,5,12566595,3,283921.73
24935640,5,26431778,3,156005.11
14619570,3,16081527,1,98793.96
13126360,5,13913942,2,82373.78
10646190,4,11391423,1,180708.3
16511180,4,16676292,1,111508.24
16438060,3,16602441,1,103022.36
13639780,2,15412951,2,92208.35
16954363,5,17971625,5,106242.13
13054281,1,14620795,2,300807.51
12574040,3,14334406,2,85045.34
27093351,2,30615487,2,448611.12
15630020,2,15786320,5,97984.2
16780661,3,17787501,1,284529.3
16453210,3,17769467,3,111118.8
17543850,1,18947358,3,109917.01
13865220,2,14419829,5,93723.61
13639190,1,14457541,5,85571.29
22040,4,22922,2,143.82
14377741,2,14665296,4,243861.98
17396390,2,17918282,3,117457.85
20366902,3,21792585,5,469013.77
25622430,4,27672224,2,424284.25
22155,4,24371,5,383.25
160876,3,178572,1,2772.99
